Nro.,Fecha,Valor de la UFV
610,1 de Septiembre 2024,2.52311
611,2 de Septiembre 2024,2.52338
612,3 de Septiembre 2024,2.52365
613,4 de Septiembre 2024,2.52392
614,5 de Septiembre 2024,2.52419
615,6 de Septiembre 2024,2.52446
616,7 de Septiembre 2024,2.52473
617,8 de Septiembre 2024,2.52500
618,9 de Septiembre 2024,2.52527
619,10 de Septiembre 2024,2.52554
620,11 de Septiembre 2024,2.52590
621,12 de Septiembre 2024,2.52626
622,13 de Septiembre 2024,2.52662
623,14 de Septiembre 2024,2.52698
624,15 de Septiembre 2024,2.52734
625,16 de Septiembre 2024,2.52770
626,17 de Septiembre 2024,2.52806
627,18 de Septiembre 2024,2.52842
628,19 de Septiembre 2024,2.52878
629,20 de Septiembre 2024,2.52914
630,21 de Septiembre 2024,2.52950
631,22 de Septiembre 2024,2.52986
632,23 de Septiembre 2024,2.53022
633,24 de Septiembre 2024,2.53058
634,25 de Septiembre 2024,2.53094
635,26 de Septiembre 2024,2.53130
636,27 de Septiembre 2024,2.53166
637,28 de Septiembre 2024,2.53202
638,29 de Septiembre 2024,2.53238
639,30 de Septiembre 2024,2.53274
640,1 de Octubre 2024,2.53308
641,2 de Octubre 2024,2.53342
642,3 de Octubre 2024,2.53376
643,4 de Octubre 2024,2.53410
644,5 de Octubre 2024,2.53444
645,6 de Octubre 2024,2.53479
646,7 de Octubre 2024,2.53514
647,8 de Octubre 2024,2.53549
648,9 de Octubre 2024,2.53584
649,10 de Octubre 2024,2.53619
650,11 de Octubre 2024,2.53660
651,12 de Octubre 2024,2.53701
652,13 de Octubre 2024,2.53742
653,14 de Octubre 2024,2.53783
654,15 de Octubre 2024,2.53824
655,16 de Octubre 2024,2.53865
656,17 de Octubre 2024,2.53906
657,18 de Octubre 2024,2.53947
658,19 de Octubre 2024,2.53988
659,20 de Octubre 2024,2.54029
660,21 de Octubre 2024,2.54070
661,22 de Octubre 2024,2.54111
662,23 de Octubre 2024,2.54152
663,24 de Octubre 2024,2.54193
664,25 de Octubre 2024,2.54234
665,26 de Octubre 2024,2.54275
666,27 de Octubre 2024,2.54316
667,28 de Octubre 2024,2.54357
668,29 de Octubre 2024,2.54398
669,30 de Octubre 2024,2.54439
670,31 de Octubre 2024,2.54480
671,1 de Noviembre 2024,2.54522
672,2 de Noviembre 2024,2.54564
673,3 de Noviembre 2024,2.54606
674,4 de Noviembre 2024,2.54648
675,5 de Noviembre 2024,2.54690
676,6 de Noviembre 2024,2.54732
677,7 de Noviembre 2024,2.54774
678,8 de Noviembre 2024,2.54816
679,9 de Noviembre 2024,2.54858
680,10 de Noviembre 2024,2.54900
681,11 de Noviembre 2024,2.54954
682,12 de Noviembre 2024,2.55008
683,13 de Noviembre 2024,2.55062
684,14 de Noviembre 2024,2.55116
685,15 de Noviembre 2024,2.55170
686,16 de Noviembre 2024,2.55224
687,17 de Noviembre 2024,2.55278
688,18 de Noviembre 2024,2.55332
689,19 de Noviembre 2024,2.55386
690,20 de Noviembre 2024,2.55440
691,21 de Noviembre 2024,2.55494
692,22 de Noviembre 2024,2.55548
693,23 de Noviembre 2024,2.55602
694,24 de Noviembre 2024,2.55656
695,25 de Noviembre 2024,2.55710
696,26 de Noviembre 2024,2.55764
697,27 de Noviembre 2024,2.55818
698,28 de Noviembre 2024,2.55872
699,29 de Noviembre 2024,2.55926
700,30 de Noviembre 2024,2.55980
701,1 de Diciembre 2024,2.56033
702,2 de Diciembre 2024,2.56086
703,3 de Diciembre 2024,2.56139
704,4 de Diciembre 2024,2.56192
705,5 de Diciembre 2024,2.56245
706,6 de Diciembre 2024,2.56298
707,7 de Diciembre 2024,2.56351
708,8 de Diciembre 2024,2.56404
709,9 de Diciembre 2024,2.56457
710,10 de Diciembre 2024,2.56510
711,11 de Diciembre 2024,2.56573
712,12 de Diciembre 2024,2.56636
713,13 de Diciembre 2024,2.56699
714,14 de Diciembre 2024,2.56762
715,15 de Diciembre 2024,2.56825
716,16 de Diciembre 2024,2.56888
717,17 de Diciembre 2024,2.56951
718,18 de Diciembre 2024,2.57014
719,19 de Diciembre 2024,2.57077
720,20 de Diciembre 2024,2.57140
721,21 de Diciembre 2024,2.57203
722,22 de Diciembre 2024,2.57266
723,23 de Diciembre 2024,2.57329
724,24 de Diciembre 2024,2.57392
725,25 de Diciembre 2024,2.57455
726,26 de Diciembre 2024,2.57518
727,27 de Diciembre 2024,2.57581
728,28 de Diciembre 2024,2.57644
729,29 de Diciembre 2024,2.57707
730,30 de Diciembre 2024,2.57770
731,31 de Diciembre 2024,2.57833
732,1 de Enero 2025,2.57896
733,2 de Enero 2025,2.57959
734,3 de Enero 2025,2.58022
735,4 de Enero 2025,2.58085
736,5 de Enero 2025,2.58148
737,6 de Enero 2025,2.58211
738,7 de Enero 2025,2.58274
739,8 de Enero 2025,2.58337
740,9 de Enero 2025,2.58400
741,10 de Enero 2025,2.58463
742,11 de Enero 2025,2.58529
743,12 de Enero 2025,2.58595
744,13 de Enero 2025,2.58661
745,14 de Enero 2025,2.58727
746,15 de Enero 2025,2.58793
747,16 de Enero 2025,2.58859
748,17 de Enero 2025,2.58925
749,18 de Enero 2025,2.58991
750,19 de Enero 2025,2.59057
751,20 de Enero 2025,2.59123
752,21 de Enero 2025,2.59189
753,22 de Enero 2025,2.59255
754,23 de Enero 2025,2.59321
755,24 de Enero 2025,2.59387
756,25 de Enero 2025,2.59453
757,26 de Enero 2025,2.59519
758,27 de Enero 2025,2.59585
759,28 de Enero 2025,2.59651
760,29 de Enero 2025,2.59717
761,30 de Enero 2025,2.59783
762,31 de Enero 2025,2.59849
763,1 de Febrero 2025,2.59923
764,2 de Febrero 2025,2.59997
765,3 de Febrero 2025,2.60071
766,4 de Febrero 2025,2.60145
767,5 de Febrero 2025,2.60219
768,6 de Febrero 2025,2.60293
769,7 de Febrero 2025,2.60367
770,8 de Febrero 2025,2.60441
771,9 de Febrero 2025,2.60515
772,10 de Febrero 2025,2.60589
